date,open,high,low,price_close,volume,close
2022-08-29,0.84,0.85,0.83,0.85,260938,0.85
2022-08-26,0.85,0.85,0.84,0.84,299325,0.84
2022-08-25,0.83,0.85,0.83,0.84,328760,0.84
2022-08-24,0.84,0.84,0.83,0.83,216013,0.83
2022-08-23,0.84,0.84,0.83,0.84,242678,0.84
2022-08-22,0.83,0.84,0.83,0.83,192400,0.83
2022-08-19,0.82,0.83,0.82,0.83,236800,0.83
2022-08-18,0.83,0.83,0.82,0.82,213898,0.82
2022-08-17,0.82,0.83,0.82,0.83,246174,0.83
2022-08-16,0.82,0.83,0.82,0.83,387036,0.83
2022-08-15,0.82,0.83,0.82,0.82,256750,0.82
2022-08-12,0.82,0.82,0.82,0.82,199203,0.82
2022-08-11,0.81,0.82,0.81,0.82,253481,0.82
2022-08-10,0.81,0.81,0.81,0.81,193494,0.81
2022-08-09,0.81,0.81,0.81,0.81,199494,0.81
2022-08-08,0.8,0.81,0.8,0.81,207689,0.81
2022-08-05,0.8,0.8,0.79,0.8,229265,0.8
2022-08-04,0.79,0.8,0.79,0.8,223538,0.8
2022-08-03,0.8,0.81,0.79,0.79,237341,0.79
2022-08-02,0.81,0.82,0.79,0.8,295412,0.8
2022-08-01,0.82,0.82,0.81,0.82,183272,0.82
2022-07-29,0.83,0.83,0.82,0.82,215710,0.82
2022-07-28,0.82,0.83,0.82,0.82,229410,0.82
2022-07-27,0.83,0.83,0.82,0.82,177782,0.82
2022-07-26,0.82,0.83,0.81,0.83,212011,0.83
2022-07-25,0.81,0.82,0.81,0.82,179080,0.82
2022-07-22,0.82,0.82,0.81,0.82,190207,0.82
2022-07-21,0.83,0.83,0.82,0.82,228768,0.82
2022-07-20,0.83,0.83,0.83,0.83,201488,0.83
2022-07-19,0.83,0.83,0.82,0.83,204747,0.83
2022-07-18,0.81,0.83,0.81,0.83,244192,0.83
2022-07-15,0.82,0.82,0.81,0.81,246205,0.81
2022-07-14,0.84,0.84,0.82,0.82,291493,0.82
2022-07-13,0.84,0.84,0.83,0.84,185257,0.84
2022-07-12,0.83,0.84,0.83,0.84,259710,0.84
2022-07-11,0.83,0.84,0.82,0.83,208441,0.83
2022-07-08,0.84,0.84,0.83,0.83,216047,0.83
2022-07-07,0.83,0.84,0.83,0.83,182630,0.83
2022-07-06,0.85,0.85,0.83,0.83,264430,0.83
2022-07-05,0.84,0.85,0.84,0.85,290145,0.85
2022-07-04,0.85,0.85,0.84,0.85,246902,0.85
2022-07-01,0.85,0.85,0.84,0.85,263594,0.85
2022-06-30,0.85,0.85,0.84,0.85,261410,0.85
2022-06-29,0.84,0.85,0.83,0.85,285536,0.85
