date,open,high,low,close,volume
2010-05-25,2214.732,2220.001,2166.901,2177.647,960659400
2010-05-26,2179.761,2194.869,2165.27,2175.041,639247900
2010-05-27,2166.079,2209.684,2138.613,2206.094,804917500
2010-05-28,2221.187,2227.461,2185.036,2199.497,821060600
2010-05-31,2187.062,2204.446,2140.66,2143.008,836528500
2010-06-01,2132.14,2149.855,2099.386,2118.073,950945500
2010-06-02,2107.495,2124.234,2086.841,2121.924,895597800
2010-06-03,2130.514,2147.096,2109.146,2111.266,708619300
2010-06-04,2102.107,2109.807,2086.403,2106.287,526759900
2010-06-07,2071.306,2081.319,2051.245,2067.23,655766400
2010-06-08,2065.179,2077.383,2048.241,2064.285,562680700
2010-06-09,2069.569,2126.119,2049.59,2120.516,1056143700
2010-06-10,2103.8,2112.96,2094.665,2099.425,652441100
2010-06-11,2108.018,2118.285,2104.452,2109.678,634000500
2010-06-17,2120.396,2125.575,2095.253,2095.671,502974200
2010-06-18,2093.658,2103.219,2064.048,2070.177,716934800
2010-06-21,2073.045,2119.046,2061.525,2117.438,850075700
2010-06-22,2112.703,2127.418,2108.067,2120.575,608513400
2010-06-23,2111.243,2122.611,2082.706,2104.609,635312400
2010-06-24,2097.958,2121.716,2088.337,2101.667,484554900
2010-06-25,2093.68,2106.448,2075.088,2088.879,507204300
2010-06-28,2087.003,2102.094,2073.31,2079.812,454792100
2010-06-29,2080.618,2085.765,1992.122,1993.122,807839900
2010-06-30,1977.394,1986.115,1959.032,1969.308,722947400
2010-07-01,1964.334,1980.446,1940.082,1942.972,525156700
2010-07-02,1942.909,1956.501,1907.05,1950.504,685958500
2010-07-05,1932.286,1948.977,1906.855,1936.181,585416400
2010-07-06,1928.579,1974.396,1926.181,1972.522,788249300
2010-07-07,1968.473,1978.14,1953.172,1977.33,524437600
2010-07-08,1981.188,1989.259,1958.822,1970.061,481877400
2010-07-09,1970.454,2032.93,1952.664,2021.851,895808100
2010-07-12,2018.962,2066.976,2011.936,2052.374,923666500
2010-07-13,2035.669,2035.669,2008.825,2020.437,641574700
2010-07-14,2025.167,2055.686,2025.167,2037.771,657196400
2010-07-15,2037.81,2055.668,1994.478,1994.983,572928000
2010-07-16,1988.519,2005.924,1974.616,2002.325,473881000
2010-07-19,1986.981,2059.955,1982.057,2049.634,779144600
2010-07-20,2052.792,2095.504,2052.599,2092.155,1040154400
2010-07-21,2094.615,2112.971,2083.161,2097.058,1028625100
2010-07-22,2089.757,2118.4,2087.132,2117.074,868313600
2010-07-23,2120.151,2136.982,2106.289,2121.215,1014475500
2010-07-26,2124.673,2132.136,2103.442,2131.575,773119300
2010-07-27,2125.26,2129.827,2107.047,2118.386,791350900
2010-07-28,2120.279,2172.224,2108.217,2168.407,1220002900
2010-07-29,2166.718,2194.047,2164.279,2183.042,1234101200
2010-07-30,2176.536,2178.658,2154.714,2172.312,763638200
2010-08-02,2169.907,2210.09,2167.704,2208.252,991567900
2010-08-03,2213.231,2216.496,2168.145,2169.469,1145155100
2010-08-04,2164.999,2181.911,2135.557,2175.241,960864400
2010-08-05,2175.886,2175.886,2135.029,2146.886,889537100
2010-08-06,2146.007,2184.63,2129.37,2183.231,916944100
2010-08-09,2179.747,2193.182,2169.823,2187.714,942240600
2010-08-10,2190.148,2198.437,2130.124,2131.731,1201508800
2010-08-11,2125.488,2148.081,2120.182,2135.914,686307900
2010-08-12,2116.599,2137.872,2108.433,2112.439,738031000
2010-08-13,2114.679,2136.44,2100.35,2135.607,720564000
2010-08-16,2133.772,2184.515,2128.888,2182.335,1194455200
2010-08-17,2182.689,2190.042,2168.658,2184.996,1092920700
2010-08-18,2187.634,2200.146,2171.143,2175.953,996960000
2010-08-19,2176.685,2198.321,2169.625,2189.023,1073692200
2010-08-20,2185.43,2191.474,2151.819,2156.288,1063680900
2010-08-23,2153.588,2167.754,2140.997,2146.405,693432600
2010-08-24,2143.332,2174.039,2124.217,2153.688,954603900
2010-08-25,2140.821,2143.32,2098.548,2098.855,928970900
2010-08-26,2109.509,2122.724,2097.851,2109.309,650270000
2010-08-27,2107.393,2116.185,2097.624,2114.95,591689300
2010-08-30,2124.795,2148.644,2122.035,2143.747,940598800
2010-08-31,2135.429,2140.169,2119.911,2129.599,924093400
2010-09-01,2133.418,2157.91,2109.202,2121.579,1100975700
2010-09-02,2140.978,2145.787,2129.756,2141.337,926802000
2010-09-03,2144.429,2146.412,2114.919,2133.733,890074900
2010-09-06,2142.661,2176.662,2142.661,2174.528,1445366900
2010-09-07,2178.259,2188.451,2164.561,2177.381,1175136300
2010-09-08,2169.741,2172.011,2155.269,2170.825,855757000
2010-09-09,2171.397,2171.397,2128.681,2134.561,1054401800
2010-09-10,2138.892,2144.6,2108.64,2135.055,833138800
2010-09-13,2130.341,2149.061,2119.886,2141.41,846027300
2010-09-14,2144.994,2153.66,2132.038,2140.104,837159600
2010-09-15,2139.815,2139.889,2107.197,2111.372,844503100
2010-09-16,2110.571,2112.167,2049.168,2063.793,973036600
2010-09-17,2070.292,2075.592,2058.3,2062.785,614297900
2010-09-20,2066.265,2076.954,2045.954,2058.552,581402400
2010-09-21,2064.727,2069.805,2052.776,2063.32,383231300
2010-09-27,2068.988,2083.215,2062.139,2081.335,579323200
2010-09-28,2077.083,2079.65,2058.909,2061.366,666732900
2010-09-29,2061.668,2086.041,2059.773,2067.332,713631300
2010-09-30,2060.644,2101.489,2059.423,2100.631,679030200
2010-10-08,2117.285,2174.385,2115.319,2168.036,1289840500
2010-10-11,2188.37,2241.521,2187.847,2230.671,2099275200
