date,close
2019-03-18,285.13
2019-03-19,285.02
2019-03-20,286.32
2019-03-21,285.9
2019-03-24,287.01
2019-03-25,287.61
2019-03-26,287.27
2019-03-27,287.08
2019-03-28,282.18
2019-03-31,281.75
2019-04-01,281.84
2019-04-02,282.28
2019-04-03,282.26
2019-04-07,283.56
2019-04-08,283.79
2019-04-09,284.79
2019-04-10,285.72
2019-04-11,283.19
2019-04-14,281.68
2019-04-15,280.91
2019-04-16,279.64
2019-04-17,277.83
2019-04-18,279.44
2019-04-21,280.21
2019-04-22,278.74
2019-04-23,278.31
2019-04-24,279.76
2019-04-25,280.5
2019-04-28,280.88
2019-04-29,280.69
2019-05-05,282.05
2019-05-06,282.25
2019-05-07,282.94
2019-05-08,283.09
2019-05-09,283.76
2019-05-12,285.04
2019-05-13,288.97
2019-05-14,287.99
2019-05-15,288.79
2019-05-16,288.1
2019-05-19,286.47
2019-05-20,286.4
2019-05-21,286.23
2019-05-22,286.65
2019-05-23,288.46
2019-05-26,288.33
2019-05-27,288.11
2019-05-28,288.05
2019-05-29,287.33
2019-05-30,290.2
2019-06-02,294.11
2019-06-03,296.93
2019-06-04,298.36
2019-06-05,298.89
2019-06-09,298.54
2019-06-10,297.95
2019-06-11,300.47
2019-06-12,300.26
2019-06-13,303.01
2019-06-16,302.03
2019-06-17,303.64
2019-06-18,301.86
2019-06-19,309.12
2019-06-20,312.02
2019-06-23,313.95
2019-06-24,319.2
2019-06-25,315.1
2019-06-26,314.63
2019-06-27,315.5
2019-06-30,307.66
2019-07-01,309.62
2019-07-02,318.32
2019-07-03,315.13
2019-07-04,315.51
2019-07-07,313.62
2019-07-08,311.28
2019-07-09,310.86
2019-07-10,316.46
2019-07-11,313.7
2019-07-14,315.09
2019-07-15,315.12
2019-07-16,313.65
2019-07-17,317.05
2019-07-18,321.23
2019-07-21,318.44
2019-07-22,316.1
2019-07-23,317.27
2019-07-24,317.55
2019-07-25,315.72
2019-07-28,317.19
2019-07-29,318.23
2019-07-30,319.58
2019-07-31,315.21
2019-08-01,322.07
2019-08-04,332.54
2019-08-05,334.2
2019-08-06,339.49
2019-08-07,343.57
2019-08-08,344.06
2019-08-11,342.86
2019-08-12,348.98
2019-08-13,342.18
2019-08-14,345.43
2019-08-15,346.1
2019-08-18,344.18
2019-08-19,342.8
2019-08-20,343.71
2019-08-21,344.13
2019-08-22,343.28
2019-08-25,356.7
2019-08-26,355.71
2019-08-27,357.19
2019-08-28,358.66
2019-08-29,354.9
2019-09-01,353.31
2019-09-02,354.78
2019-09-03,357.28
2019-09-04,357.48
2019-09-05,350.57
2019-09-08,348.45
2019-09-09,342.83
2019-09-10,344.28
2019-09-11,343.33
2019-09-15,344.53
2019-09-16,343.22
2019-09-17,344.62
2019-09-18,344.11
2019-09-19,344.97
2019-09-22,348.52
2019-09-23,350.05
2019-09-24,352.01
2019-09-25,347.72
2019-09-26,345.07
2019-09-29,343.34
2019-10-07,342.95
2019-10-08,347.77
2019-10-09,346.04
2019-10-10,344.19
2019-10-13,339.64
2019-10-14,340.82
2019-10-15,339.31
2019-10-16,341.39
2019-10-17,340.79
2019-10-20,340.71
2019-10-21,339.64
2019-10-22,340.89
2019-10-23,340.38
2019-10-24,343.72
2019-10-27,343.8
2019-10-28,340.01
2019-10-29,339.6
2019-10-30,340.17
2019-10-31,343.17
2019-11-03,342.63
2019-11-04,340.53
2019-11-05,335.83
2019-11-06,337.52
2019-11-07,331.25
2019-11-10,330.59
2019-11-11,327.62
2019-11-12,330.84
2019-11-13,331.71
2019-11-14,330.9
2019-11-17,331.03
2019-11-18,332.95
2019-11-19,334.05
2019-11-20,333.58
2019-11-21,332.87
2019-11-24,330.65
2019-11-25,330.35
2019-11-26,330.71
2019-11-27,330.07
2019-11-28,330.5
2019-12-01,331.21
2019-12-02,331.95
2019-12-03,338.11
2019-12-04,336.47
2019-12-05,334.45
2019-12-08,332.21
2019-12-09,332.29
2019-12-10,332.55
2019-12-11,334.32
2019-12-12,330.34
2019-12-15,333.73
2019-12-16,333.75
2019-12-17,334.08
2019-12-18,333.64
2019-12-19,334.56
2019-12-22,335.74
2019-12-23,337.26
2019-12-24,338.97
2019-12-25,339.66
2019-12-26,341.05
2019-12-29,340.72
2019-12-30,342.53
2020-01-01,341.63
2020-01-02,346.75
2020-01-05,354.69
2020-01-06,351.42
2020-01-07,357.41
2020-01-08,345.31
2020-01-09,346.43
2020-01-12,346.35
2020-01-13,341.96
2020-01-14,344.82
2020-01-15,345.27
2020-01-16,344.85
2020-01-19,345.13
2020-01-20,348.52
2020-01-21,345.63
2020-01-22,347.64
2020-02-02,357.12
2020-02-03,353.86
2020-02-04,351.66
2020-02-05,349.58
2020-02-06,351.19
2020-02-09,352.69
2020-02-10,351.79
2020-02-11,351.03
2020-02-12,353.67
2020-02-13,354.13
2020-02-16,355.33
2020-02-17,357.05
2020-02-18,361.41
2020-02-19,362.59
2020-02-20,369.26
2020-02-23,377.4
2020-02-24,369.34
2020-02-25,372.02
2020-02-26,371.91
2020-02-27,367.43
2020-03-01,358.9
2020-03-02,357.97
2020-03-03,365.02
2020-03-04,366.43
2020-03-05,373.29
2020-03-08,371.42
2020-03-09,366.61
2020-03-10,369.27
2020-03-11,366.05
2020-03-12,355.61
2020-03-15,346.84
2020-03-16,330.91
2020-03-17,337.88
2020-03-18,336.23
2020-03-19,339.0
2020-03-22,338.57
2020-03-23,357.26
2020-03-24,363.84
2020-03-25,362.55
2020-03-26,366.25
2020-03-29,363.6
2020-03-30,363.92
2020-03-31,358.05
2020-04-01,359.85
2020-04-02,362.73
2020-04-06,372.95
2020-04-07,369.52
2020-04-08,370.33
2020-04-09,372.53
2020-04-12,372.14
2020-04-13,376.5
2020-04-14,375.78
2020-04-15,378.29
2020-04-16,371.96
2020-04-19,370.41
2020-04-20,373.82
2020-04-21,372.98
2020-04-22,379.13
2020-04-23,382.06
2020-04-26,379.7
2020-04-27,376.79
2020-04-28,378.33
2020-04-29,380.5
2020-05-05,379.69
2020-05-06,378.0
2020-05-07,382.77
2020-05-10,381.28
2020-05-11,380.47
2020-05-12,381.04
2020-05-13,383.37
2020-05-14,388.9
2020-05-17,398.52
2020-05-18,392.38
2020-05-19,396.66
2020-05-20,392.79
2020-05-21,392.74
2020-05-24,391.48
2020-05-25,393.28
2020-05-26,389.22
2020-05-27,392.14
2020-05-28,392.04
2020-05-31,395.66
2020-06-01,394.95
2020-06-02,391.33
2020-06-03,387.83
2020-06-04,387.74
2020-06-07,384.35
2020-06-08,384.26
2020-06-09,388.52
2020-06-10,391.51
2020-06-11,391.33
2020-06-14,390.29
2020-06-15,389.97
2020-06-16,390.53
2020-06-17,389.95
2020-06-18,390.68
2020-06-21,395.09
2020-06-22,394.39
2020-06-23,397.03
2020-06-28,397.48
2020-06-29,397.79
2020-06-30,400.43
2020-07-01,396.64
2020-07-02,397.71
2020-07-05,396.81
2020-07-06,397.66
2020-07-07,399.36
2020-07-08,401.91
2020-07-09,399.18
2020-07-12,400.85
2020-07-13,400.07
2020-07-14,400.7
2020-07-15,399.62
2020-07-16,397.01
2020-07-19,398.77
2020-07-20,401.53
2020-07-21,411.13
2020-07-22,413.06
2020-07-23,416.37
2020-07-26,426.77
2020-07-27,426.34
2020-07-28,427.54
2020-07-29,424.52
2020-07-30,428.25
2020-08-02,427.25
2020-08-03,427.87
2020-08-04,438.84
2020-08-05,443.08
2020-08-06,445.48
2020-08-09,441.81
2020-08-10,433.57
2020-08-11,406.55
2020-08-12,412.5
2020-08-13,417.09
2020-08-16,420.41
2020-08-17,429.21
2020-08-18,423.92
2020-08-19,414.83
2020-08-20,415.36
2020-08-23,412.74
2020-08-24,413.72
2020-08-25,412.43
2020-08-26,417.59
2020-08-27,417.68
2020-08-30,419.14
2020-08-31,423.5
2020-09-01,419.61
2020-09-02,412.18
2020-09-03,413.84
2020-09-06,413.56
2020-09-07,413.95
2020-09-08,413.83
2020-09-09,416.98
2020-09-10,415.91
2020-09-13,415.9
2020-09-14,417.12
2020-09-15,416.02
2020-09-16,413.54
2020-09-17,414.77
2020-09-20,414.65
2020-09-21,405.8
2020-09-22,399.33
2020-09-23,394.5
2020-09-24,399.79
2020-09-27,398.66
2020-09-28,403.86
2020-09-29,403.68
2020-10-08,404.18
2020-10-11,408.68
2020-10-12,406.64
2020-10-13,402.53
2020-10-14,401.99
2020-10-15,403.63
2020-10-18,403.96
2020-10-19,402.16
2020-10-20,403.98
2020-10-21,403.89
2020-10-22,402.63
2020-10-25,400.68
2020-10-26,404.28
2020-10-27,404.43
2020-10-28,399.09
2020-10-29,396.52
2020-11-01,400.11
2020-11-02,401.76
